,distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,gas_enc,snow
158,21.6,5.3,44,21.5,9,E10,0,1,0,1,0
159,39.4,5.3,60,21.5,9,E10,0,1,0,1,0
160,5.1,8.1,39,21.5,4,E10,0,0,0,1,0
161,26.6,4.8,38,21.5,7,E10,0,0,0,1,0
162,53.2,5.1,71,21.5,2,E10,0,0,0,1,0
163,18.9,4.4,53,21.5,2,E10,0,0,0,1,0
164,43.5,5.0,80,21.5,3,E10,0,0,0,1,0
165,6.1,6.3,26,21.5,5,E10,0,0,0,1,0
166,16.4,4.8,49,21.5,5,E10,0,0,0,1,0
167,12.3,6.1,40,21.5,6,E10,0,0,0,1,0
168,21.1,4.6,36,21.5,8,E10,0,0,0,1,0
169,21.1,4.8,43,21.5,7,E10,0,0,0,1,0
170,22.7,4.7,55,21.5,6,E10,0,0,0,1,0
171,44.4,4.8,38,21.5,8,E10,0,0,0,1,0
172,35.8,4.4,51,21.5,6,E10,0,0,0,1,0
173,11.8,4.9,44,21.5,0,E10,0,0,0,1,0
174,26.2,4.9,42,21.5,6,E10,0,0,0,1,0
175,40.6,4.4,44,21.0,3,E10,0,0,0,1,0
176,12.4,5.3,38,21.0,-5,E10,0,0,0,1,0
177,14.1,5.3,47,21.0,-3,E10,0,0,0,1,0
178,58.7,4.8,75,21.0,0,E10,0,0,0,1,0
179,16.2,5.2,29,21.0,0,E10,0,0,0,1,0
180,12.3,4.9,50,22.5,0,E10,0,0,0,1,0
181,12.3,7.1,52,22.5,0,E10,1,1,0,1,1
182,12.4,5.2,51,22.5,1,E10,0,0,0,1,0
183,31.8,4.7,59,22.5,3,E10,0,0,0,1,0
184,12.3,5.1,55,22.5,8,E10,0,0,0,1,0
185,51.6,5.0,73,22.5,12,E10,0,0,0,1,0
186,38.6,4.6,44,22.5,10,E10,0,0,0,1,0
187,12.3,4.8,41,22.5,7,E10,0,0,0,1,0
188,81.2,4.4,69,22.0,13,E10,0,0,0,1,0
189,130.3,4.6,85,22.0,12,E10,0,0,0,1,0
190,67.2,4.3,67,22.0,18,E10,0,0,0,1,0
191,43.7,4.7,44,22.0,9,SP98,0,1,0,0,0
192,12.1,4.2,43,22.0,4,SP98,0,0,0,0,0
193,56.1,4.8,82,22.0,13,SP98,0,0,0,0,0
194,39.0,4.1,61,22.0,16,SP98,0,0,0,0,0
195,11.8,4.5,41,21.5,13,SP98,0,0,0,0,0
